"customer","total_orders","total_revenue","avg_order_value","customer_segment"
Magdelene Morse,4,1314.02,219.00,Mid Value
Sibella Parks,6,1306.09,130.61,Mid Value
Matt Collins,8,1303.89,118.54,Mid Value
Eileen Kiefer,4,1303.48,325.87,Mid Value
Corey-Lock,5,1300.08,162.51,Mid Value
Denny Ordway,9,1300.03,100.00,Mid Value
Hallie Redmond,5,1299.29,99.95,Mid Value
Georgia Rosenberg,2,1284.38,256.88,Mid Value
Cari Sayre,5,1278.95,159.87,Mid Value
Paul Stevenson,8,1278.64,98.36,Mid Value
Stuart Van,4,1271.09,211.85,Mid Value
Doug O'Connell,7,1267.32,115.21,Mid Value
Carl Ludwig,4,1262.01,180.29,Mid Value
Liz Willingham,3,1259.04,251.81,Mid Value
Michelle Ellison,4,1256.94,209.49,Mid Value
Gene McClure,10,1255.68,96.59,Mid Value
Steve Carroll,6,1254.64,156.83,Mid Value
Matt Hagelstein,4,1252.80,208.80,Mid Value
Elpida Rittenbach,3,1245.79,249.16,Mid Value
Tony Chapman,9,1244.98,113.18,Mid Value
Joni Wasserman,7,1244.09,113.10,Mid Value
Michael Grace,5,1242.83,177.55,Mid Value
Nora Pelletier,6,1228.70,175.53,Mid Value
Patrick Jones,8,1220.09,93.85,Mid Value
Erica Hernandez,7,1219.53,110.87,Mid Value
Jack Lebron,6,1214.96,101.25,Mid Value
Christina DeMoss,2,1205.58,92.74,Mid Value
Michael Dominguez,5,1204.91,150.61,Mid Value
Dorothy Wardle,7,1204.85,120.49,Mid Value
Evan Bailliet,6,1186.33,169.48,Mid Value
Benjamin Patterson,5,1181.49,196.91,Mid Value
Debra Catini,5,1174.62,167.80,Mid Value
Alyssa Tate,6,1171.81,130.20,Mid Value
Jim Radford,2,1156.66,385.55,Mid Value
Duane Benoit,7,1155.20,115.52,Mid Value
Claire Gute,3,1148.78,229.76,Mid Value
Kimberly Carter,4,1146.05,163.72,Mid Value
Ross DeVincentis,8,1137.62,71.10,Mid Value
Carl Weiss,6,1136.59,103.33,Mid Value
Jim Sink,4,1131.06,102.82,Mid Value
Darrin Van Huff,5,1119.48,124.39,Mid Value
Alan Barnes,8,1113.84,79.56,Mid Value
Tony Molinari,3,1094.68,273.67,Mid Value
Jesus Ocampo,5,1090.84,99.17,Mid Value
Scot Wooten,7,1085.08,108.51,Mid Value
Jeremy Farry,11,1082.92,72.19,Mid Value
Dennis Bolton,5,1081.47,180.24,Mid Value
David Wiener,6,1080.75,120.08,Mid Value
Cindy Schnelling,4,1077.23,119.69,Mid Value
Pauline Chand,2,1061.49,353.83,Mid Value
David Philippe,2,1058.62,264.65,Mid Value
Jenna Caffey,1,1058.11,264.53,Mid Value
Phillina Ober,5,1056.86,105.69,Mid Value
Allen Armold,9,1056.39,70.43,Mid Value
Vivek Sundaresam,4,1055.98,132.00,Mid Value
Alex Russell,4,1055.69,211.14,Mid Value
Darren Powers,9,1050.64,61.80,Mid Value
Duane Huffman,4,1043.10,94.83,Mid Value
Susan MacKendrick,1,1043.04,173.84,Mid Value
Eudokia Martin,4,1041.04,104.10,Mid Value
Theresa Coyne,1,1038.26,259.57,Mid Value
Mike Kennedy,4,1031.60,93.78,Mid Value
Tiffany House,8,1022.20,78.63,Mid Value
Sean Wendt,3,1019.04,169.84,Mid Value
Luke Schmidt,6,1010.26,72.16,Mid Value
Randy Bradley,2,1008.20,168.03,Mid Value
Lynn Smith,6,1008.14,84.01,Mid Value
Bruce Geld,6,1006.36,143.77,Mid Value
Victor Preis,3,993.90,198.78,Mid Value
Ken Brennan,7,983.92,109.32,Mid Value
Barry Pond,5,983.42,140.49,Mid Value
Toby Swindell,5,974.78,81.23,Mid Value
Russell D'Ascenzo,4,970.94,97.09,Mid Value
Aimee Bixby,5,966.71,80.56,Mid Value
Roy Collins,6,966.41,96.64,Mid Value
Sung Shariari,5,964.64,64.31,Mid Value
Jonathan Howell,7,959.48,106.61,Mid Value
Jason Fortune-,5,955.12,68.22,Low Value
Rachel Payne,4,954.65,79.55,Low Value
Bryan Spruell,2,949.43,118.68,Low Value
Roy Französisch,8,945.22,85.93,Low Value
Eric Barreto,5,944.60,134.94,Low Value
Maureen Fritzler,5,937.04,117.13,Low Value
Eric Murdock,5,933.70,155.62,Low Value
Alyssa Crouse,3,925.80,185.16,Low Value
Evan Henry,6,923.88,115.49,Low Value
Mary O'Rourke,4,922.49,184.50,Low Value
Alejandro Ballentine,9,914.53,65.32,Low Value
Katrina Bavinger,3,908.82,100.98,Low Value
Catherine Glotzbach,6,904.47,100.50,Low Value
Sonia Cooley,5,902.73,128.96,Low Value
Joni Blumstein,3,900.55,112.57,Low Value
Henia Zydlo,5,886.52,147.75,Low Value
Aaron Bergman,3,886.16,147.69,Low Value
Ryan Crowe,6,885.75,80.52,Low Value
Chad Sievert,4,884.64,126.38,Low Value
Harold Engle,4,883.53,80.32,Low Value
Sally Knutson,3,883.41,176.68,Low Value
Richard Eichhorn,5,876.70,97.41,Low Value
Jim Mitchum,5,864.95,72.08,Low Value
Jocasta Rupert,1,863.88,863.88,Low Value
Art Foster,4,861.57,123.08,Low Value
Julie Creighton,5,858.58,95.40,Low Value
Michael Stewart,6,855.12,77.74,Low Value
Vicky Freymann,5,847.94,77.09,Low Value
Vivek Gonzalez,6,846.01,105.75,Low Value
Charles Sheldon,5,844.46,105.56,Low Value
Todd Boyes,5,834.33,64.18,Low Value
Ann Steele,7,833.40,69.45,Low Value
Erica Hackney,6,825.95,103.24,Low Value
Thomas Brumley,4,816.17,204.04,Low Value
Alice McCarthy,5,814.01,67.83,Low Value
Brendan Murry,6,808.16,80.82,Low Value
David Kendrick,2,797.83,159.57,Low Value
Matthew Clasen,4,795.15,99.39,Low Value
Beth Fritzler,3,791.99,198.00,Low Value
Harry Greene,5,785.63,78.56,Low Value
Michael Granlund,9,776.38,59.72,Low Value
Muhammed MacIntyre,9,775.41,64.62,Low Value
Sandra Flanagan,7,763.55,84.84,Low Value
Steven Ward,2,758.70,94.84,Low Value
Liz Pelletier,4,756.61,84.07,Low Value
Dorris liebe,5,755.60,125.93,Low Value
Ivan Gibson,4,744.57,106.37,Low Value
Barry Blumstein,5,744.34,93.04,Low Value
Tracy Collins,7,742.56,74.26,Low Value
Michelle Lonsdale,3,742.08,185.52,Low Value
Ritsa Hightower,2,740.38,246.79,Low Value
Patrick Bzostek,3,740.36,74.04,Low Value
Angele Hood,4,738.50,147.70,Low Value
Henry MacAllister,4,736.28,105.18,Low Value
Patricia Hirasaki,1,729.65,364.82,Low Value
Pete Armstrong,6,729.41,104.20,Low Value
Jennifer Jackson,5,709.18,118.20,Low Value
Julia Dunbar,3,695.44,115.91,Low Value
Peter Bühler,4,688.32,137.66,Low Value
Eric Hoffmann,8,684.17,40.25,Low Value
Toby Ritter,5,675.94,96.56,Low Value
Alex Grayson,5,660.97,73.44,Low Value
Berenike Kampe,6,659.14,41.20,Low Value
Bryan Davis,6,658.47,65.85,Low Value
Anna Chung,5,657.32,109.55,Low Value
Anthony Witt,4,649.38,81.17,Low Value
Lori Olson,5,644.35,71.59,Low Value
Joy Bell-,7,644.12,92.02,Low Value
Carol Darley,3,639.77,106.63,Low Value
Mathew Reese,4,639.18,106.53,Low Value
Astrea Jones,3,629.25,125.85,Low Value
Ralph Ritter,2,615.93,153.98,Low Value
Shirley Schmidt,3,613.40,102.23,Low Value
Bobby Trafton,4,603.88,86.27,Low Value
Barbara Fisher,7,599.80,46.14,Low Value
Maria Zettner,4,593.61,98.93,Low Value
Denise Leinenbach,4,585.02,73.13,Low Value
Alan Shonely,7,584.61,44.97,Low Value
Brian Derr,3,582.65,116.53,Low Value
Neil Knudson,7,572.05,52.00,Low Value
Carlos Meador,2,565.39,141.35,Low Value
Chuck Sachs,2,550.64,91.77,Low Value
Cari Schnelling,6,537.63,76.80,Low Value
John Huston,6,528.91,66.11,Low Value
Rob Beeghly,5,528.55,58.73,Low Value
Andy Yotov,4,497.01,49.70,Low Value
Corey Roper,3,475.90,118.98,Low Value
MaryBeth Skach,4,475.66,67.95,Low Value
Joni Sundaresam,5,469.17,58.65,Low Value
Erin Creighton,5,461.91,65.99,Low Value
Khloe Miller,5,453.54,50.39,Low Value
Kelly Williams,4,449.10,89.82,Low Value
Tim Taslimi,3,439.50,146.50,Low Value
Shui Tom,7,433.34,36.11,Low Value
Vivek Grady,5,427.37,71.23,Low Value
Sonia Sunley,6,418.49,46.50,Low Value
Brad Thomas,2,415.20,138.40,Low Value
Mark Haberlin,4,400.02,44.45,Low Value
Barry Weirich,3,385.52,128.51,Low Value
Joy Daniels,6,385.43,35.04,Low Value
Jason Klamczynski,3,383.81,95.95,Low Value
Vivian Mathis,5,380.69,47.59,Low Value
Neil Französisch,4,377.16,94.29,Low Value
Melanie Seite,4,370.35,74.07,Low Value
Lycoris Saunders,3,368.88,61.48,Low Value
Aleksandra Gannaway,4,367.55,73.51,Low Value
Evan Minnotte,3,366.82,91.71,Low Value
Heather Jas,5,358.10,59.68,Low Value
Don Weiss,5,344.08,38.23,Low Value
Larry Tron,3,329.88,109.96,Low Value
Brendan Dodson,2,320.54,80.14,Low Value
Lisa Hazard,4,318.24,53.04,Low Value
Jennifer Halladay,4,309.28,44.18,Low Value
Jill Matthias,5,303.95,43.42,Low Value
Chuck Magee,3,287.99,32.00,Low Value
Larry Hughes,3,287.43,95.81,Low Value
Sung Chung,2,280.63,70.16,Low Value
Stuart Calhoun,4,279.26,55.85,Low Value
Nicole Brennan,2,273.87,136.94,Low Value
Bart Folk,3,272.95,45.49,Low Value
Dorothy Dickinson,6,269.54,29.95,Low Value
Brad Norvell,4,265.30,44.22,Low Value
Andrew Roberts,5,264.86,37.84,Low Value
Harold Dahlen,3,251.36,35.91,Low Value
Sally Matthias,4,244.49,40.75,Low Value
Paul Lucas,5,239.48,29.94,Low Value
Guy Phonely,2,236.53,47.31,Low Value
Erin Mull,4,228.99,38.16,Low Value
Guy Thornton,4,226.44,32.35,Low Value
Robert Barroso,5,221.08,31.58,Low Value
Hilary Holden,2,218.67,36.44,Low Value
Allen Goldenen,5,200.95,25.12,Low Value
Joel Jenkins,2,195.00,65.00,Low Value
Anthony Garverick,4,170.58,34.12,Low Value
Muhammed Lee,2,162.23,54.08,Low Value
Anthony O'Donnell,1,161.28,161.28,Low Value
Pete Takahito,4,160.57,22.94,Low Value
Dianna Arnett,4,156.76,19.60,Low Value
Michael Oakman,2,154.29,38.57,Low Value
Greg Hansen,2,146.94,48.98,Low Value
Phillip Breyer,2,132.74,66.37,Low Value
Bobby Odegard,2,130.83,65.41,Low Value
Ed Ludwig,2,124.28,62.14,Low Value
Clay Cheatham,3,113.83,28.46,Low Value
Roland Murray,1,98.35,49.18,Low Value
Karen Seio,3,88.47,22.12,Low Value
Anemone Ratner,1,88.15,44.08,Low Value
Fred Wasserman,3,79.75,26.58,Low Value
Jasper Cacioppo,4,71.26,17.82,Low Value
Adrian Shami,2,58.82,19.61,Low Value
Larry Blacks,3,50.19,16.73,Low Value
Ricardo Emerson,1,48.36,48.36,Low Value
Susan Gilcrest,3,47.95,9.59,Low Value
Roy Skaria,2,22.33,7.44,Low Value
Mitch Gastineau,1,16.74,8.37,Low Value
Carl Jackson,1,16.52,16.52,Low Value
Lela Donovan,1,5.30,5.30,Low Value
Thais Sissman,2,4.83,2.42,Low Value
